user_id,book_id,rating,title
1,7331,5,Wicca: A Guide for the Solitary Practitioner
1,7861,5,The Magic Mirror of M.C. Escher
174,7861,5,The Magic Mirror of M.C. Escher
379,7861,1,The Magic Mirror of M.C. Escher
1,8271,5,The Complete Guide to Middle-Earth
368,8271,5,The Complete Guide to Middle-Earth
415,8271,5,The Complete Guide to Middle-Earth
1,9057,5,Shadows over Innsmouth
333,9057,5,Shadows over Innsmouth
626,9057,4,Shadows over Innsmouth
1,9678,4,The Upanishads
4,9678,3,The Upanishads
76,9678,4,The Upanishads
241,9678,5,The Upanishads
1,9837,3,"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe: The Official Illustrated Movie Companion"
308,9837,5,"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe: The Official Illustrated Movie Companion"
1,405,4,The New Drawing on the Right Side of the Brain
2,405,2,The New Drawing on the Right Side of the Brain
1,1777,4,Frida: A Biography of Frida Kahlo
162,1777,3,Frida: A Biography of Frida Kahlo
1,1972,5,The Interpretation of Dreams
22,1972,4,The Interpretation of Dreams
1,3158,3,Betty Crockers Cookbook
292,3158,4,Betty Crockers Cookbook
407,3158,4,Betty Crockers Cookbook
1,3229,5,The Lord of the Rings: The Art of the Fellowship of the Ring
368,3229,5,The Lord of the Rings: The Art of the Fellowship of the Ring
415,3229,5,The Lord of the Rings: The Art of the Fellowship of the Ring
1,3938,5,History of Art
1,3994,4,"Sin City, Vol. 4: That Yellow Bastard"
216,3994,3,"Sin City, Vol. 4: That Yellow Bastard"
1,4228,3,The Lord of the Rings: Weapons and Warfare
543,4228,5,The Lord of the Rings: Weapons and Warfare
1,4409,5,The Lord of the Rings: The Return of the King: Visual Companion
543,4409,5,The Lord of the Rings: The Return of the King: Visual Companion
559,4409,5,The Lord of the Rings: The Return of the King: Visual Companion
1,5297,5,And Another Thing...
148,5297,3,And Another Thing...
492,5297,5,And Another Thing...
1,5438,5,Dont Panic: The Official Hitchhikers Guide to the Galaxy Companion
